,ProjectID,RequirementText,Class
0,101,"['system', 'shall', 'refresh', 'display', 'second']",PE
1,101,"['application', 'shall', 'match', 'color', 'schema', 'set', 'forth', 'department', 'homeland', 'security']",LF
2,101,"['project', 'datum', 'readable', 'projection', 'screen', 'viewer', 'able', 'read', 'event', 'activity', 'datum', 'view', 'distance']",US
3,101,"['product', 'shall', 'available', 'normal', 'business', 'hour', 'long', 'user', 'access', 'client', 'pc', 'system', 'available', 'time', 'month', 'operation']",A
4,101,"['project', 'datum', 'understandable', 'projection', 'screen', 'viewer', 'able', 'determine', 'event', 'activity', 'occur', 'current', 'time', 'view', 'distance']",US
5,101,"['product', 'shall', 'ensure', 'access', 'authorized', 'user', 'product', 'able', 'distinguish', 'authorized', 'unauthorized', 'user', 'access', 'attempt']",SE
6,101,"['product', 'shall', 'intuitive', 'self', 'explanatory', 'new', 'user', 'shall', 'able', 'start', 'display', 'event', 'activity', 'minute', 'product']",US
7,101,"['product', 'shall', 'respond', 'fast', 'date', 'datum', 'display']",PE
8,102,"['look', 'feel', 'system', 'shall', 'conform', 'user', 'interface', 'standard', 'smart', 'device']",LF
9,102,"['user', 'interface', 'shall', 'standard', 'menus', 'button', 'navigation']",LF
10,102,"['system', 'shall', 'professional', 'appearance']",LF
11,102,"['product', 'shall', 'consistent', 'color', 'scheme', 'font']",LF
12,102,"['system', 'shall', 'realtor', 'no', 'training']",US
13,102,"['system', 'shall', 'intuitive', 'self', 'explanatory']",US
14,102,"['product', 'shall', 'easy', 'realtor', 'learn']",US
15,102,"['product', 'shall', 'use', 'symbol', 'word', 'naturally', 'understandable', 'realtor', 'community']",US
16,102,"['product', 'shall', 'produce', 'search', 'result', 'acceptable', 'time']",PE
17,102,"['search', 'result', 'shall', 'return', 'no', 'later', 'second', 'user', 'enter', 'search', 'criterion']",PE
18,102,"['product', 'shall', 'generate', 'cma', 'report', 'acceptable', 'time']",PE
19,102,"['cma', 'report', 'shall', 'return', 'no', 'later', 'second', 'user', 'enter', 'cma', 'report', 'criterion']",PE
20,102,"['product', 'shall', 'synchronize', 'contact', 'appointment', 'acceptable', 'time']",PE
21,102,"['product', 'shall', 'synchronize', 'office', 'system', 'hour']",PE
22,102,"['product', 'shall', 'available', 'use', 'hour', 'day', 'day', 'year']",A
23,102,"['access', 'system', 'system', 'available', 'time']",A
24,102,"['product', 'shall', 'operate', 'offline', 'mode', 'internet', 'connection', 'unavailable']",FT
25,102,"['product', 'shall', 'allow', 'user', 'view', 'previously', 'download', 'search', 'result', 'cma', 'report', 'appointment']",FT
26,102,"['product', 'shall', 'retain', 'user', 'preference', 'event', 'failure']",FT
27,102,"['save', 'user', 'preference', 'shall', 'restore', 'system', 'come', 'online']",FT
28,102,"['product', 'shall', 'able', 'support', 'multiple', 'remote', 'user']",SC
29,102,"['product', 'shall', 'able', 'support', 'simultaneous', 'user']",SC
30,102,"['product', 'shall', 'capable', 'handle', 'exist', 'user', 'number', 'expect', 'grow', 'time', 'year']",SC
31,102,"['product', 'shall', 'instal', 'untrained', 'realtor', 'recourse', 'separately', 'print', 'instruction']",US
32,102,"['untrained', 'realtor', 'shall', 'able', 'install', 'product', 'device', 'print', 'instruction']",US
33,102,"['product', 'expect', 'run', 'windows', 'ce', 'palm', 'operating', 'system']",PO
