combinacao,params,f1,duration
adamax+origin,"{'hidden_size': 209.53065677676898, 'lr': 0.008358448896594645, 'act': 'tanh'}",0.6303223388844806,43.12m
rmsprop+origin,"{'hidden_size': 119.35920354815111, 'lr': 0.008634697186557848, 'act': 'tanh'}",0.657822498790369,36.12m
sgdm+origin,"{'hidden_size': 226.3963273770982, 'lr': 0.009885955837070597, 'act': 'tanh'}",0.5879220285229084,53.74m
adamax+tomek,"{'hidden_size': 168.58347117406342, 'lr': 0.008631686123601425, 'act': 'tanh'}",0.6106757284691723,40.90m
rmsprop+tomek,"{'hidden_size': 222.2298316490428, 'lr': 0.008115792409133422, 'act': 'tanh'}",0.5538843826232349,29.85m
sgdm+tomek,"{'hidden_size': 244.60920885342182, 'lr': 0.003950815181548949, 'act': 'tanh'}",0.5906540035545522,47.67m
adamax+smote,"{'hidden_size': 238.17690138271163, 'lr': 0.0072329172370889944, 'act': 'elu'}",0.5595705831050389,1.04h
rmsprop+smote,"{'hidden_size': 17.67448701693119, 'lr': 0.0012510107141881594, 'act': 'elu'}",0.5783880622195673,36.13m
sgdm+smote,"{'hidden_size': 65.85376685780926, 'lr': 0.004332576671673868, 'act': 'elu'}",0.6795618527469899,1.26h
adamax+bdsmote,"{'hidden_size': 18.805228985026684, 'lr': 0.005055683033000973, 'act': 'elu'}",0.5494396754151858,55.89m
rmsprop+bdsmote,"{'hidden_size': 99.96385169623738, 'lr': 0.007355847556821369, 'act': 'elu'}",0.6197199450473823,35.10m
sgdm+bdsmote,"{'hidden_size': 20.02594601858509, 'lr': 0.00631240734867621, 'act': 'elu'}",0.6702618699895233,1.07h
adamax+smoteenn,"{'hidden_size': 113.41809134483735, 'lr': 0.006094609449096993, 'act': 'relu'}",0.3523634132949074,1.21h
rmsprop+smoteenn,"{'hidden_size': 238.26518643548332, 'lr': 0.0031486000434523087, 'act': 'relu'}",0.5004319624054855,58.95m
sgdm+smoteenn,"{'hidden_size': 230.62757586008897, 'lr': 0.005518624084787044, 'act': 'relu'}",0.4476752008912236,1.34h
adamax+smotetomek,"{'hidden_size': 238.47527977603633, 'lr': 0.009136312745494958, 'act': 'relu'}",0.7306617669153688,1.05h
rmsprop+smotetomek,"{'hidden_size': 192.7708589044997, 'lr': 0.005301312093562216, 'act': 'relu'}",0.6111968153761553,38.42m
sgdm+smotetomek,"{'hidden_size': 83.04719287514457, 'lr': 0.00997830231670133, 'act': 'relu'}",0.5601834297763831,1.32h
